img_id,Entropy,Fisher information,Label
51,0.7236660540782471,0.5306077618883553,Pulmonary Consolidation
52,0.7161044284415273,0.5509588032899916,Pulmonary Consolidation
53,0.7030197184867153,0.5973860880870782,Pulmonary Consolidation
54,0.707730321050715,0.5806310565046856,Pulmonary Consolidation
55,0.7187556717167102,0.5188069082326615,Pulmonary Consolidation
56,0.684345913079365,0.6680629437873224,Pulmonary Consolidation
57,0.7804343453583481,0.5073484081137265,Pulmonary Consolidation
58,0.7648124803607396,0.49310932145956327,Pulmonary Consolidation
59,0.7628989244719211,0.5394876455369684,Pulmonary Consolidation
60,0.7791174976075316,0.5019491634252595,Pulmonary Consolidation
61,0.7662202481197491,0.5428897246129288,Pulmonary Consolidation
62,0.7787448617394529,0.494412476159979,Pulmonary Consolidation
63,0.7710336392297111,0.5226880325357457,Pulmonary Consolidation
64,0.7704500408712438,0.49755431203199135,Pulmonary Consolidation
65,0.7651789560403555,0.4996903150133122,Pulmonary Consolidation
66,0.7567740828392452,0.5211500919855963,Pulmonary Consolidation
67,0.765700050453642,0.5420449260525463,Pulmonary Consolidation
68,0.7727546651232288,0.5186646134390305,Pulmonary Consolidation
69,0.7630670668777879,0.5471673052125643,Pulmonary Consolidation
70,0.7838546047074916,0.4852312090838822,Pulmonary Consolidation
71,0.7760329211701869,0.5003429130646395,Pulmonary Consolidation
72,0.7744653960761738,0.4987505588241001,Pulmonary Consolidation
73,0.76884803714655,0.5026562717286903,Pulmonary Consolidation
74,0.7974324655757469,0.448092101826137,Pulmonary Consolidation
75,0.7810928203502094,0.4848319981777213,Pulmonary Consolidation
76,0.7867353520881686,0.4889129137932113,Pulmonary Consolidation
77,0.7792233679785437,0.4736185166015172,Pulmonary Consolidation
78,0.7701554307180544,0.5193667350854035,Pulmonary Consolidation
79,0.7719221156905923,0.4924741312732895,Pulmonary Consolidation
80,0.7579819749065148,0.5295648532463452,Pulmonary Consolidation
81,0.7581501972787975,0.5387847324744919,Pulmonary Consolidation
82,0.7606769007683075,0.5151571728887295,Pulmonary Consolidation
83,0.7535752048940262,0.551936449433023,Pulmonary Consolidation
84,0.7867437887724763,0.49651945375267315,Pulmonary Consolidation
85,0.7972866737615817,0.4557873451021674,Pulmonary Consolidation
86,0.7878779399370688,0.4820411595230566,Pulmonary Consolidation
87,0.7925672871044154,0.45492623195283577,Pulmonary Consolidation
88,0.7895054369161534,0.4736810527559248,Pulmonary Consolidation
89,0.7982545204028576,0.45282721671752807,Pulmonary Consolidation
90,0.7826284728344813,0.4593112977687931,Pulmonary Consolidation
91,0.7896689684722134,0.4669477081203672,Pulmonary Consolidation
92,0.7964408948173721,0.4580085882693976,Pulmonary Consolidation
93,0.8039223329704019,0.4524159019968826,Pulmonary Consolidation
94,0.7638280985053527,0.5287787968710612,Pulmonary Consolidation
95,0.7671452390707525,0.517319481343809,Pulmonary Consolidation
96,0.7942234124946909,0.4618366606972719,Pulmonary Consolidation
97,0.8082629995022149,0.4392205383395264,Pulmonary Consolidation
98,0.7977506836472176,0.43977115603641653,Pulmonary Consolidation
99,0.7897721515200525,0.45810795227852036,Pulmonary Consolidation
100,0.7839652177799553,0.496443574296397,Pulmonary Consolidation
101,0.7882076234523228,0.4621786235831699,Pulmonary Consolidation
102,0.7800543968292875,0.4904220155643642,Pulmonary Consolidation
103,0.8000169822947557,0.43690019453152973,Pulmonary Consolidation
104,0.8082757037338764,0.41095787416693175,Pulmonary Consolidation
105,0.7808050838041841,0.46122262328943103,Pulmonary Consolidation
106,0.765644395928544,0.4959929991342415,Pulmonary Consolidation
107,0.7773552745402197,0.49201927021120617,Pulmonary Consolidation
108,0.7483357473695196,0.5416016566053912,Pulmonary Consolidation
109,0.7382397264119177,0.5750010216024526,Pulmonary Consolidation
110,0.7638746810554734,0.544913794097232,Pulmonary Consolidation
111,0.7855537331767668,0.44860789484886976,Pulmonary Consolidation
112,0.7964586684266276,0.45844326329757457,Pulmonary Consolidation
113,0.7758831429278477,0.5293735815919138,Pulmonary Consolidation
114,0.7925057882836645,0.4702535253490376,Pulmonary Consolidation
115,0.7820737411683575,0.499751135156389,Pulmonary Consolidation
116,0.8128636092383833,0.42683125381248477,Pulmonary Consolidation
117,0.7937658694190901,0.4376575192214859,Pulmonary Consolidation
118,0.8167202128888194,0.39273204910342463,Pulmonary Consolidation
119,0.7970062353446336,0.44395094501602,Pulmonary Consolidation
120,0.7830429495851529,0.48284569878740863,Pulmonary Consolidation
121,0.7654104199496854,0.4869006397760024,Pulmonary Consolidation
122,0.805829895625286,0.4031678137958329,Pulmonary Consolidation
123,0.830028167309585,0.3785814265550925,Pulmonary Consolidation
124,0.776768371881364,0.5014977501464434,Pulmonary Consolidation
125,0.7757765792246125,0.4991739514628092,Pulmonary Consolidation
126,0.7818612288650528,0.4707219579881519,Pulmonary Consolidation
127,0.7738666095029549,0.4780773511068377,Pulmonary Consolidation
128,0.799088723202244,0.467964865117432,Pulmonary Consolidation
129,0.8039016007523789,0.43492902771145636,Pulmonary Consolidation
130,0.7893439425180373,0.4706221688127306,Pulmonary Consolidation
131,0.8105178722837371,0.4133155017491982,Pulmonary Consolidation
132,0.8045888602294694,0.46488564064800425,Pulmonary Consolidation
133,0.7679070085635752,0.5053622324800192,Pulmonary Consolidation
134,0.7886062645337633,0.4682577348821799,Pulmonary Consolidation
135,0.8268225825862069,0.38644151685156974,Pulmonary Consolidation
136,0.8234693943097209,0.3902499510834712,Pulmonary Consolidation
137,0.7805226448401489,0.49607066701173,Pulmonary Consolidation
138,0.758396764244451,0.5705459372977146,Pulmonary Consolidation
