img_id,Entropy,Complexity,Fisher,Smoothness,Curve structure,Up-down balance,Persistence,Distance to White Noise,Label
708,0.986767292939438,0.0172648743698371,0.0179150378161995,0.1010330057949105,0.1015369110607206,0.022675736961451302,-0.1371252204585539,0.003504841089875111,Emphysematous Area
709,0.9865690828636344,0.0173246762983536,0.0141690245607436,0.0768455530360291,0.1307634164777022,0.018392542202066,-0.13183421516754862,0.003630277825229178,Emphysematous Area
710,0.9836430627788147,0.021419036839363,0.0163336324488388,0.0803728898966994,0.1332829428067523,0.018140589569160995,-0.12805492567397342,0.004279425626712335,Emphysematous Area
711,0.9861994520516296,0.0177958117820932,0.0144464267353004,0.0886873267825649,0.1184177374653565,0.015117157974300896,-0.12351977828168309,0.003733750435870441,Emphysematous Area
712,0.985010005821079,0.0194395127107758,0.015306296017859,0.0894431846812799,0.1403376165280927,0.0070546737213403946,-0.122008062484253,0.003998462574750239,Emphysematous Area
713,0.9827136337656848,0.0224813902122027,0.0185751861419429,0.0972537163013353,0.1395817586293776,0.016628873771730994,-0.1250314940791132,0.004577528313565937,Emphysematous Area
714,0.9805079584334784,0.0250961779387656,0.0171696401849987,0.0924666162761401,0.164021164021164,0.015621063240110908,-0.11444948349710271,0.005250290723121832,Emphysematous Area
715,0.980649974663672,0.024969314486467,0.0186694918780181,0.0980095742000504,0.1398337112622827,0.016628873771730994,-0.11747291509196281,0.005189857640096992,Emphysematous Area
716,0.9808220345050648,0.0247531744240283,0.0188310393377894,0.0884353741496599,0.1635172587553539,0.0161249685059209,-0.1255353993449233,0.005134502967410378,Emphysematous Area
717,0.9793154590381954,0.0266635170438957,0.0237151333852829,0.0773494583018393,0.1554547745023936,0.014613252708490801,-0.13561350466112382,0.005551694376695275,Emphysematous Area
718,0.9835895719274472,0.0208706537334132,0.0133919596555521,0.0934744268077601,0.1131267321743512,0.0015117157974301049,-0.10537918871252211,0.0045515014605825585,Emphysematous Area
719,0.983768067200898,0.0205614966995409,0.0139181575221052,0.0874275636180398,0.1035525321239607,0.0327538422776518,-0.1245275888133032,0.004548200493862709,Emphysematous Area
720,0.9784339844458356,0.0277879560669323,0.0243148247681417,0.125724363819602,0.1408415217939027,0.0219198790627362,-0.12125220458553801,0.005808154098775456,Emphysematous Area
721,0.9838787317807396,0.0208349639025243,0.0232087911238228,0.1232048374905517,0.1131267321743512,0.024187452758881296,-0.1341017888636937,0.0043371925443096045,Emphysematous Area
722,0.9859368822877534,0.0182992890398609,0.0160495221408546,0.0962459057697153,0.1335348954396573,0.0259511211892164,-0.14392794154698918,0.0037304494691506006,Emphysematous Area
723,0.9817286884692916,0.0231366357529272,0.0224888004788619,0.1111111111111111,0.1262282690854119,0.0319979843789368,-0.140400604686319,0.0051270123121615096,Emphysematous Area
724,0.9871846642491864,0.0163740986084561,0.013547289966787,0.0889392794154699,0.1161501637692113,0.030990173847316692,-0.1308264046359285,0.0035453414123224228,Emphysematous Area
725,0.9848673051083554,0.0196402368698886,0.0153191318713251,0.09095490047871,0.1317712270093222,0.0211640211640211,-0.1305744520030235,0.004044549148569591,Emphysematous Area
726,0.9845839121152036,0.0201099417484848,0.0185219841371936,0.0793650793650793,0.1564625850340135,0.015873015873015893,-0.1398966994205091,0.004069179438709963,Emphysematous Area
727,0.9805649402523454,0.0247623257195991,0.0185654872839989,0.0977576215671454,0.1330309901738473,0.027462836986646505,-0.1227639203829681,0.005366205439091734,Emphysematous Area
